i,j,fill
356,2,1
358,2,1
359,2,1
360,2,1
361,2,1
362,2,1
365,2,1
366,2,1
367,2,1
368,2,1
370,2,1
371,2,1
390,2,1
391,2,1
392,2,1
393,2,1
394,2,1
395,2,1
399,2,1
410,2,1
413,2,1
414,2,1
417,2,1
418,2,1
420,2,1
421,2,1
422,2,1
424,2,1
425,2,1
426,2,1
428,2,1
429,2,1
430,2,1
437,2,1
438,2,1
439,2,1
440,2,1
441,2,1
442,2,1
444,2,1
445,2,1
447,2,1
448,2,1
449,2,1
450,2,1
451,2,1
452,2,1
453,2,1
454,2,1
456,2,1
458,2,1
459,2,1
461,2,1
462,2,1
463,2,1
465,2,1
467,2,1
468,2,1
469,2,1
470,2,1
471,2,1
472,2,1
473,2,1
474,2,1
475,2,1
478,2,1
481,2,1
482,2,1
483,2,1
484,2,1
485,2,1
486,2,1
487,2,1
488,2,1
489,2,1
490,2,1
491,2,1
492,2,1
493,2,1
494,2,1
495,2,1
496,2,1
